,newDesk,commentBody
0,Washington,"When Adm. Jackson gave his press conference about Trump's health, Jackson stated that Trump took Ambien (a sleeping pill that can cause irrational behavior) but only for overseas flights, yet oddly, Ambien was *not* included in list of medications in the written medical report issued by the White House. Trump's odd behavior, especially late at night and in early mornings, continues. Now we hear Jackson is suspected of ""overprescription."" Could Jackson be providing Trump with Ambien for *daily* (mis)use?"
1,Washington,But why was this man White House physician to begin with?
2,Washington,"Stop at the second paragraph. He ""drank too much on the job""? ""Too much""?There is no 'drinking on the job' allowed for health care providers. None. Period. Heard of ""AOB""? That is ""Alcohol-on-Breath"". It is grounds for professional discipline, including suspension of one's license to practice."
3,Washington,"This shouldn't surprise anyone, given the over-the-top, very Trumpian, language used by Jackson in reporting on the president's health. Checking your ethics at the door may place you in good graces with Trump, but hopefully sanity will prevail in this instance, and Jackson won't be unleashed on veterans who deserve much better."
4,Washington,"Everyone Trump touches is forever soiled, if they werenât already."
5,Express,"An overweight, out of shape guy in a tiny ""wife-beater"" flag shirt might rise in status if he took care of himself, dressed better, and got an education. I live in a town with people like this. They like to blame others for their lack of good jobs, but they won't go to a vo-tech school or a college, or even graduate from high school, to give themselves a leg up. They think if they sit on their porches and drink Keystone Lite and complain enough, a factory will miraculously open and they'll have a job again."
6,Express,"I am not a social-scientist, but this sounds like a lot of broad generalizations verging into baloney.<br/><br/>White males have been overwhelmingly voting Republican since at least the 1980s, when âLaborâ started peeling away from the Democratic Party, which has relied more and more on voters in urban centers.  Yet these flyover state white men still seem to remain an easy target for the NYT.<br/><br/>As has been much documented and discussed, it was white women who surprised the Clintons and voted overwhelmingly for Trump, not white men.<br/><br/>The Washington Post reported:<br/><br/>âWhile Clinton won women's votes overall, most white women â 52 percent â voted for Trump, according to exit polls. And more than 6 in 10 â 61 â percent of white women without a college degree backed the president.â<br/><br/>But wait, Iâm sure this will get spun that they were coerced by white, Christian males, no?<br/><br/>Frankly, these kind of âgeneralizationâ articles that the NYT publishes from time to time donât add one bit to the political discourse and do seem to affirm Trumpâs callouts of âfake newsâ. <br/><br/>As Ruth Bader Ginsburg stayed, âI am fearful, or suspicious, of generalizations... They cannot guide me reliably in making decisions about particular individuals.â  <br/><br/>Politics is about individuals.  We need to unite to address income inequality, not be divided by race and blame.<br/><br/>Why not write about the real culprit in the election?  The U.S. has an antiquated electoral state system, which undermines our individual votes.  "
7,Express,"I continue to be amazed (and quietly enraged) by the number of people in my life who I had considered to be reasonable and non-bigoted, who in fact detested the fact that a black man was POTUS; just last week, a highly educated and successful business associate confided to me (apparently thinking that I shared his feelings on the matter) how he had ""suffered"" for eight-years under ""that black president"" . . . this mode of thinking is unfathomable to me."
8,Express,This is something i figured out in 2017 after Trump was sworn in. Working around predominantly white males in law enforcement and after many debates with them its all boiled down to a sense of entitlement and holding onto the good old days. When your neighbors your coworkers and the people u watched on television were what? White and male. It was a very sad but sobering experience when my self and my family realized that our neighbors looked at us as if we are a threat to there existence when we wanted a community that worked together for the betterment of everyone. Or so my parents thought when they emigrated to this country working towards the so called âAmerican Dreamâ. NOT
9,Express,"The fear of loss of US global dominance doesn't explain the appeal of ""America first, ignore the rest of the world whenever feasible"" philosophy to Trump voters"
10,Express,There is strong evidence that gender bias played an important role in the election of Trump over Clinton. No woman has ever been elected President.
11,Express,"The study explains quite a lot and none of it is good.  Small wonder that Trump supporters refused to vet him - to look beyond the dog whistles and separate the man from the message.  Their lack of concern for details mirrors his.  After all, it's all about emotions not ideas."
12,Express,"Long suspected, so appreciate the study."
13,Express,"What is lacking in a person's life that they feel a need to dominate others?  Except for the Trump types who inherit wealth, everyone has to make their own way in America.  To feel as if you are a success, trying to hold down other Americans is not going to work so well anymore, as we inevitably must compete globally. This country was founded by stealing the land from Native Americans; since then the country has had a highly competitive culture.  No one is guaranteed anything, as the US has rejected the idea that a society exists to help its members succeed, and they in turn give back something of value to the community. We are hostage to the dog eat dog commercial/business mentality.  There are other values than monetary profit; the country used to know that."
14,Express,"I reject identity politics.  It is short-sighted and wrong to blame the victory of Trump primarily on racist white males.  Bernie Sanders and Joe Biden both agree with me on this. <br/><br/>Yes, race was a factor in the Trump win  But the main cause was the steadily increasing inequality of American life, in which the working class--of all races and ethnicities-has steadily and dramatically losing ground.  People who once lived a middle-class life style are now the working or unemployed poor.  Economic stresses are damaging lives and breaking up families. <br/><br/>Since the time of Bill Clinton and especially since the Citizens United decision, the mainstream Democrats have abandoned their progressivism and cast their lots with the very wealthy--the 0.01 percent.  As long as this situation continues, demagogic, right-wing populists like Trump will find the road to victory open."
15,Express,"Events are often over-determined. It is likely that both economic as  well as status anxiety motivated a fair amount of voters to switch from Obama to Trump, especially in the key industrial states of the upper mid-west.<br/><br/>Look back at the election of 1896.  William Jennings Bryan, a populist, made a strong showing against the winner, conservative William McKinley.  Bryan's support was motivated in part by what historian Richard Hofstadter called ""status anxiety"" among middle-class non-professionals, those who were afraid of losing their social status<br/><br/> A difference between then and now, however, was that the United States was in a great upward swing, economically and politically. It was becoming a world power. Today, there is a broad consensus that the United States is in decline economically and as a world power.  Also, with wages being flat since the 1970s,  many of these people, whose parents voted for FDR, believe that they are slipping out of the middle class.<br/><br/>Thus, both status and economic anxiety contributed to Trumps's unlikely victory."
